EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
12.3,9.9,2,1.7,0.1,0.6,42.5,84.2,51,110,107,1.7,-1.6
11.2,8.5,2.2,2.3,0.1,0.8,41.2,76.9,48.8,111,107,1.7,-1.3
16.2,3.9,3.3,1.6,0.9,0.5,59.1,67.2,59.1,105,119,1.5,2.8
10.9,9.9,2.8,1.7,0.2,0.7,43.4,79.9,51.4,110,109,8.7,-0.3
-4.5,1.8,0.7,0.7,0,0.2,22.2,100,22.2,108,61,-0.1,-14.4
9.3,5.2,2.8,1.7,0.4,0.7,42.9,56,47,110,92,-0.6,-3.4
6.6,5.1,3.5,1.2,0.6,0.2,37.8,71.6,48.9,114,93,-0.8,-3.2
10.9,5.5,2.2,0.6,0.6,0.2,41.7,76.3,45.8,105,96,-1.5,-3.5
14.8,11.4,7.5,1.3,2,0.6,49.7,72.1,49.7,105,100,4,-1.3
8.9,5.5,1.7,0.9,0.3,0.5,39,65.2,42.5,107,88,-2,-5.6
10.2,4.4,3.1,0.5,0.2,0.4,39.2,67,42,109,94,-1.7,-5.6
6.2,2.3,0.5,1,0,0.4,34,72.2,37.2,111,79,-0.2,-8.1
18.2,4,2.7,0.4,0.3,0.5,53.4,51.1,53.6,102,110,0.3,0.3
10.8,6.9,4.7,1,0.5,0.6,38.2,60.9,38.2,106,93,-1.2,-3.3
9.5,3.5,1,2,0,0.5,41.2,73.2,46.4,112,103,-0.9,-3.9
8.4,4.8,3,0.9,0.2,0.4,42.5,69.4,42.5,110,99,-1,-3.9
12,7,4,0.6,0.5,0.4,43.8,79.5,47.2,106,104,0.6,-1.8
14.2,9.1,5.7,1.8,0.9,0.9,49.3,75.7,49.4,104,105,11.3,0.9
13.1,11,3.1,1.3,0.3,0.6,45,78.9,50.7,111,109,0.1,-1.7
16.6,14.1,4.7,1.4,0.7,0.6,53.9,63.8,54,111,107,0.8,-1.3
14.3,5.7,2,0.9,0.4,0.3,45.4,84.1,60,107,119,2.3,1.7
6.4,3.5,0.9,2,0.1,0.8,35.2,66.7,37.2,107,80,-1,-6.4
13.8,7.6,1.8,3.5,0.1,0.9,43.1,83.5,46,105,105,4,-0.9
12.5,9.1,4,3.4,0.4,1.2,41,77,51.1,108,113,8.8,1.7
12.3,8.6,2.3,3.3,0.1,0.9,42.4,78.2,42.8,103,102,0.5,-1.9
16.1,14.7,3.1,5.5,0.1,1.2,43.6,80.2,49.7,108,108,21.1,0.5
15.3,6.3,7,0.9,1.1,0.6,59.4,50,59.4,105,117,8.6,1.1
10.5,8.5,6.1,1.1,0.2,0.9,42.7,65,42.7,106,87,-0.4,-3.6
18.8,15.2,2.9,5.4,0.2,1,41.5,89.4,49.5,107,118,37.6,2.5
12,1.3,1.6,0.1,0.2,0.2,40,60,40,105,106,0,-3.8
15.8,3.8,3.8,0.7,0.4,0.4,53.8,70.8,53.8,108,122,0.3,-0.2
12.1,3,1.5,0.6,0.1,0.2,57.7,46.2,63.5,106,107,0,-2.1
23.5,24.3,10,6.3,0.8,1.7,49.6,88.6,51.4,101,115,79.7,7.2
16.5,18,3,3.2,0.2,1.2,50.6,65.5,50.9,107,107,12.4,0.3
12.7,4.9,6.4,0.5,1.4,0.3,51.4,56.5,51.4,105,107,0,-2
12.6,6.8,4.1,1.4,0.4,0.6,46.2,75.6,55.8,111,112,2.8,0.5
6.6,2.1,1.8,0.4,0.4,0.1,43.3,60.8,43.3,110,93,-1.4,-4.8
1.9,2.7,0.7,0.7,0,0.3,30,25,30,107,68,-0.1,-12.1
14.4,4.9,4.7,0.5,0.5,0.4,55,58.2,55.1,108,114,0.2,-1.8
16.7,18,3.3,3,0.3,0.7,49.3,84,50.1,112,113,15.3,-0.1
8.2,1.3,0.9,0.3,0.1,0.1,33.3,75,33.3,109,89,-0.1,-6.3
6.4,3.4,1.6,0.4,0.1,0.4,36.7,50.9,36.7,108,79,-0.9,-8.4
11.6,1.4,0.8,0.8,0,0.3,61.5,66.7,61.5,109,112,0,-1.9
6.1,3.7,0.6,1.8,0,0.3,36.6,83.3,39,117,92,-0.2,-8.6
16.5,6.8,5.1,0.8,0.3,0.7,52.4,60.8,52.4,102,106,4.2,0.4
